well,metal,conc,yeast,replicate
Well.101,CoCu,2,OLY077,2
Well.102,Zn,3,OLY077,1
Well.103,CoMn,2,OLY077,1
Well.104,CdCu,5,OLY077,1
Well.105,CuNi,5,OLY077,3
Well.106,MnZn,4,OLY077,1
Well.107,CdCu,2,OLY077,1
Well.108,YPAD,0,OLY077,2
Well.109,CdCo,2,OLY077,2
Well.110,CdMn,4,OLY077,2
Well.111,MnNi,5,OLY077,3
Well.112,CdMn,1,OLY077,1
Well.113,Mn,1,OLY077,2
Well.114,CoCu,1,BLANK,1
Well.115,CdZn,5,BLANK,1
Well.116,CuZn,2,OLY077,1
Well.117,Mn,3,BLANK,1
Well.118,CoCu,3,OLY077,3
Well.119,MnZn,5,BLANK,1
Well.120,Cu,2,BLANK,1
Well.121,Co,2,BLANK,1
Well.122,MnZn,3,BLANK,1
Well.123,CoNi,1,OLY077,3
Well.124,CoNi,3,OLY077,2
Well.125,CdCu,1,OLY077,3
Well.126,CdCo,2,OLY077,1
Well.127,Cd,2,OLY077,2
Well.128,CdNi,1,BLANK,1
Well.129,MnNi,1,BLANK,1
Well.130,CoCu,4,BLANK,1
Well.131,CoZn,1,BLANK,1
Well.132,CdNi,5,OLY077,1
Well.133,NiZn,2,OLY077,2
Well.134,CoMn,1,OLY077,1
Well.135,Zn,2,OLY077,1
Well.136,Mn,1,OLY077,1
Well.137,CoZn,4,OLY077,3
Well.138,Cu,3,OLY077,2
Well.139,CoZn,2,OLY077,2
Well.140,CuZn,4,BLANK,1
Well.141,Cu,4,OLY077,2
Well.142,YPAD,0,BLANK,4
Well.143,Ni,5,BLANK,1
Well.144,Mn,5,OLY077,1
Well.145,CoCu,5,OLY077,2
Well.146,CoCu,2,BLANK,1
Well.147,Co,1,OLY077,1
Well.148,CoCu,3,OLY077,2
Well.149,CoZn,2,OLY077,3
Well.150,MnNi,2,OLY077,3
Well.151,NiZn,4,BLANK,1
Well.152,CoCu,5,BLANK,1
Well.153,CdMn,4,BLANK,1
Well.154,CdMn,2,OLY077,2
Well.155,CoMn,1,BLANK,1
Well.156,CdCo,1,OLY077,2
Well.157,CuMn,2,OLY077,2
Well.158,CdNi,4,BLANK,1
Well.159,CdNi,4,OLY077,2
Well.160,Cd,2,BLANK,1
Well.161,Cu,1,OLY077,1
Well.162,CuNi,1,OLY077,2
Well.163,MnZn,1,BLANK,1
Well.164,CdZn,2,OLY077,3
Well.165,CuNi,4,BLANK,1
Well.166,NiZn,5,OLY077,3
Well.167,CdCu,2,OLY077,3
Well.168,Co,3,OLY077,1
Well.169,Zn,2,OLY077,2
Well.170,Cd,4,OLY077,2
Well.171,CuMn,5,OLY077,3
Well.172,CdCo,5,OLY077,1
Well.173,MnZn,3,OLY077,3
Well.174,CuZn,1,OLY077,1
Well.175,CdMn,1,BLANK,1
Well.176,CuMn,3,OLY077,2
Well.177,CoNi,4,OLY077,2
Well.178,CdCu,2,BLANK,1
Well.179,Cd,5,OLY077,2
Well.180,MnNi,2,OLY077,1
Well.181,YPAD,0,BLANK,1
Well.182,NiZn,5,BLANK,1
Well.183,CoNi,1,BLANK,1
Well.184,Cu,5,OLY077,1
Well.185,CoCu,4,OLY077,3
Well.186,Cd,1,OLY077,1
Well.187,NiZn,4,OLY077,1
Well.188,Co,2,OLY077,2
Well.189,YPAD,0,BLANK,3
Well.190,Co,3,BLANK,1
Well.191,CuZn,4,OLY077,2
Well.192,Mn,3,OLY077,2
Well.193,CuNi,3,OLY077,1
Well.194,Cu,4,BLANK,1
Well.195,Zn,5,BLANK,1
Well.196,CoZn,3,OLY077,3
Well.197,CuZn,3,OLY077,3
Well.198,CoZn,5,OLY077,1
Well.199,CoZn,4,OLY077,2
Well.200,CuZn,3,OLY077,2
Well.201,CuMn,4,BLANK,1
Well.202,CuMn,5,OLY077,2
Well.203,Mn,4,OLY077,2
Well.204,CdZn,3,OLY077,1
Well.205,CuZn,1,OLY077,3
Well.206,Ni,2,OLY077,1
Well.207,CoNi,2,OLY077,1
Well.208,Cu,1,BLANK,1
Well.209,Cd,3,OLY077,1
Well.210,CdMn,2,BLANK,1
Well.211,Co,5,OLY077,1
Well.212,CuNi,2,OLY077,1
Well.213,CdCo,3,OLY077,1
Well.214,CoCu,4,OLY077,1
Well.215,CoZn,3,OLY077,1
Well.216,CuNi,4,OLY077,1
Well.217,CoZn,2,OLY077,1
Well.218,CoNi,2,OLY077,2
Well.219,CoNi,4,OLY077,1
Well.220,CuMn,2,OLY077,3
Well.221,NiZn,1,OLY077,1
Well.222,MnNi,1,OLY077,2
Well.223,Cu,2,OLY077,1
Well.224,Co,3,OLY077,2
Well.225,CoZn,5,OLY077,3
Well.226,CdZn,1,BLANK,1
Well.227,CoZn,1,OLY077,2
Well.228,CoCu,1,OLY077,1
Well.229,Ni,4,BLANK,1
Well.230,CuNi,5,OLY077,2
Well.231,YPAD,0,OLY077,4
Well.232,CdCo,4,BLANK,1
Well.233,CuZn,5,OLY077,3
Well.234,Zn,3,BLANK,1
Well.235,Mn,5,BLANK,1
Well.236,CdMn,5,OLY077,1
Well.237,Co,1,BLANK,1
Well.238,CdCu,1,OLY077,1
Well.239,CoNi,1,OLY077,1
Well.240,CdZn,3,OLY077,3
Well.241,Cd,5,OLY077,1
Well.242,MnZn,2,OLY077,3
Well.243,Cu,5,OLY077,2
Well.244,CdCu,3,OLY077,2
Well.245,CdZn,5,OLY077,2
Well.246,Zn,4,OLY077,2
Well.247,CdCo,2,OLY077,3
Well.248,Ni,3,OLY077,2
Well.249,MnNi,5,OLY077,2
Well.250,CuMn,3,OLY077,3
Well.251,Cd,5,BLANK,1
Well.252,CoZn,4,BLANK,1
Well.253,CoMn,5,OLY077,1
Well.254,CuNi,3,OLY077,3
Well.255,CdCu,4,OLY077,3
Well.256,CdMn,1,OLY077,3
Well.257,CuZn,1,OLY077,2
Well.258,CuMn,4,OLY077,2
Well.259,Mn,4,OLY077,1
Well.260,CdCo,4,OLY077,3
Well.261,CdZn,4,BLANK,1
Well.262,CdZn,3,OLY077,2
Well.263,YPAD,0,OLY077,3
Well.264,CdNi,4,OLY077,1
Well.265,MnZn,5,OLY077,3
Well.266,CuNi,2,OLY077,2
Well.267,MnZn,1,OLY077,1
Well.268,MnZn,3,OLY077,2
Well.269,CdCu,4,OLY077,2
Well.270,CoNi,5,BLANK,1
Well.271,MnNi,3,OLY077,2
Well.272,CoMn,4,OLY077,2
Well.273,MnNi,1,OLY077,1
Well.274,CoNi,2,BLANK,1
Well.275,Cd,3,BLANK,1
Well.276,CoNi,5,OLY077,2
Well.277,MnNi,1,OLY077,3
Well.278,CuZn,4,OLY077,3
Well.279,YPAD,0,BLANK,5
Well.280,Zn,1,OLY077,2
Well.281,CdCu,5,BLANK,1
Well.282,Cd,4,BLANK,1
Well.283,CuMn,1,OLY077,1
Well.284,MnNi,4,BLANK,1
Well.285,MnZn,1,OLY077,2
