metal,combo,EC50
Cd,CdCo,0.018736276379950900
Cd,CdCu,0.019265654573665100
Cd,CdMn,0.01891041848385830
Cd,CdNi,0.01831949500125160
Cd,CdZn,0.01920348539973890
Co,CdCo,0.9077114466097120
Co,CoCu,0.9404359841439290
Co,CoMn,0.9148074511405510
Co,CoNi,0.8922847617674780
Co,CoZn,0.9146726210541300
Cu,CdCu,9.026499534318990
Cu,CoCu,10.557811005528500
Cu,CuMn,10.577397316047700
Cu,CuNi,10.370598100119500
Cu,CuZn,10.585657954261200
Mn,CdMn,1.1478729416586400
Mn,CoMn,1.1451240250001900
Mn,CuMn,1.2010890103990100
Mn,MnNi,1.1299919898169100
Mn,MnZn,1.150764365424740
Ni,CdNi,2.834108341382410
Ni,CoNi,2.8287674654657200
Ni,CuNi,2.8619788277266100
Ni,MnNi,2.8230700015995800
Ni,NiZn,2.833488837291870
Zn,CdZn,4.8478594500814100
Zn,CoZn,4.798365546154580
Zn,CuZn,5.0158979931801800
Zn,MnZn,4.80311598621097
Zn,NiZn,4.762079220938420
