"Combo","a","delta[EC50]","EC501","EC502"
"CdCo",0.8580314715680565,0.5364692405307023,0.010856402030976727,1.1043913827645155
"CdCu",1.7472282355278907,0.38871369867257055,0.011792438304092774,11.201639220339036
"CdMn",0.8058570174216009,0.41825912050215697,0.010594870293785466,1.508874746227782
"CdNi",2.020113981706256,0.27971334205917864,0.011159884509238365,2.9474993171018755
"CdZn",1.2587316235764356,0.5743324051233965,0.012232092932777383,5.5641592355853415
"CoCu",-2.7965451989913728,0.999932337386306,1.1134409295926295,11.05089429808391
"CoMn",2.0050204245196888,0.4066489385653098,1.0896651748799837,1.4897902287883737
"CoNi",0.5899502659637897,0.9690366923239436,1.0892756869977303,2.950052014136484
"CoZn",-1.3192621128097115,0.9985931863127786,1.1086580132356014,5.5208654407093425
"CuMn",2.903101073076883,-0.08846528452750002,10.971005788706464,1.4884359949403136
"CuNi",-1.9091681797713087,0.999944694024788,10.925976327369343,2.962846714821398
"CuZn",-2.1936873839774713,0.9999618558885534,11.094025204960412,5.56279631545141
"MnNi",2.0943186659682826,0.47053527176342547,1.4097127365220836,2.930321847223225
"MnZn",3.309056229360583,-0.2663998105190377,1.551904738546649,5.492965609735344
"NiZn",1.0800853978892053,0.9521429293407969,2.9558956590046392,5.463930155614109
