"","trial","combo","conc","met1_r","combo_r","met2_r","delta_r"
"1","one","CdCo","1",0.270167168364699,0.125740014172981,0.282338118312575,0.544836883175643
"2","one","CdCo","2",0.23988423061283,0.132435487393279,0.248491178531096,0.457648829512424
"3","one","CdCo","3",0.220042055931735,0.0496404813180954,0.118221048073242,0.706497807592015
"4","one","CdCo","4",0.0833628120977536,0.0466173680139607,0.0979084490509985,0.485661789756003
"5","one","CdCo","5",0.0745386916800594,0.0466616959330738,0.0241230208364307,0.0541073179674463
"6","two","CdCo","1",0.277926834549302,0.117206852369896,0.267391868566391,0.570134485759496
"7","two","CdCo","2",0.267527232217235,0.124808621604355,0.204425254810014,0.471096667418773
"8","two","CdCo","3",0.226368682404443,0.0617835486086774,0.131858745011648,0.655059641556066
"9","two","CdCo","4",0.111098461519354,0.0350131837264141,0.0978703024789862,0.664895527384254
"10","two","CdCo","5",0.0831455030381179,0.0310337652427902,0.0380607816541367,0.487918216096045
"11","one","CdCu","1",0.270167168364699,0.0983731211462446,0.248899639301858,0.620961619224019
"12","one","CdCu","2",0.23988423061283,0.11478574787153,0.198694246661413,0.476555490889925
"13","one","CdCu","3",0.220042055931735,0.062982961694195,0.165974362664745,0.673677291120439
"14","one","CdCu","4",0.0833628120977536,0.026886150502244,0.185354965503981,0.799893027233264
"15","one","CdCu","5",0.0745386916800594,0.0246134572390311,0.0235667725445587,0.498224539610207
"16","two","CdCu","1",0.277926834549302,0.116626504557497,0.22007077652153,0.531618216775307
"17","two","CdCu","2",0.267527232217235,0.0941701807681087,0.194206241013739,0.592101564094307
"18","two","CdCu","3",0.226368682404443,0.0420298527018896,0.115277489526333,0.753956835141091
"19","two","CdCu","4",0.111098461519354,0.0101240416383597,0.149214344061233,0.922216338026248
"20","two","CdCu","5",0.0831455030381179,0.00744546923744001,0.00988855650696507,0.839941000664772
"21","one","CdMn","1",0.270167168364699,0.213024877249168,0.29510849297032,0.24629736668278
"22","one","CdMn","2",0.23988423061283,0.132430909231355,0.19475013886272,0.390610045905241
