metal,conc,Mean_r,SE_r,Mean_OD,SE_OD,Mean_changeOD,trial
Cd,1,0.2701671683646989,0.0028757843717475136,0.9072500000000001,0.029749999999999995,0.917,one
Cd,2,0.23988423061283015,0.010661851868043483,0.7656666666666667,0.0016666666666666496,0.7989999999999999,one
Cd,3,0.22004205593173506,0.0018750336172601576,0.687,0.006666666666666599,0.719,one
Cd,4,0.08336281209775365,0.005811839032254788,0.20766666666666664,0.022833333333333344,0.214,one
Cd,5,0.07453869168005944,0.0019844009047087496,0.16208333333333333,0.0045833333333333,0.198,one
CdCo,1,0.12574001417298142,0.00455033653564846,0.7306111111111111,0.02427358214445199,0.7493333333333333,one
CdCo,2,0.1324354873932787,0.006653456538802612,0.7008333333333333,0.004358898943540678,0.713,one
CdCo,3,0.04964048131809543,0.00887988635694203,0.10161111111111111,0.02964767390371856,0.11666666666666665,one
CdCo,4,0.04661736801396069,0.004969820383944037,0.031055555555555548,0.005231964907195336,0.08933333333333333,one
CdCo,5,0.046661695933073816,4.2921870395895784e-4,0.02944444444444445,0.0022222222222222135,0.09233333333333334,one
CdCu,1,0.09837312114624462,0.005461414467586609,0.8727222222222222,0.03403842237135654,0.8923333333333333,one
CdCu,2,0.11478574787153009,0.006550798991789896,0.8568888888888889,0.01218580432964908,0.8773333333333334,one
CdCu,3,0.06298296169419496,0.03447773905292807,0.10472222222222223,0.08908305183061922,0.17,one
CdCu,4,0.02688615050224404,0.009567028557163655,0.009333333333333332,0.0014938144066387546,0.07433333333333335,one
CdCu,5,0.024613457239031074,0.010828842602398199,0.02566666666666666,0.007269291065337277,0.10466666666666667,one
CdMn,1,0.21302487724916827,0.020310576173350484,0.8972222222222223,0.2005505462593864,0.9466666666666668,one
CdMn,2,0.13243090923135506,0.007091740441641548,0.6163888888888889,0.005945223209631862,0.6416666666666667,one
CdMn,3,0.08950890951764377,0.006633752666359986,0.5318888888888889,0.03629512942190849,0.5486666666666666,one
CdMn,4,0.05837423122656559,0.007899152036673105,0.12066666666666667,0.0432101882704805,0.15233333333333332,one
CdMn,5,0.03831804628410632,0.012150413076297304,0.02783333333333332,0.005297623506329498,0.07133333333333333,one
CdNi,1,0.18681914070173275,0.017202475840036105,1.043277777777778,0.028880554353285636,1.0516666666666667,one
