metal,yeast,maxSlope
Cd,BLANK,0.023266299886692817
Cd,BLANK,0.04242035829271628
Cd,BLANK,0.03837352580138287
Cd,BLANK,0.03476353097608964
Cd,BLANK,0.035038048684654655
CdCo,BLANK,0.005872969421893969
CdCo,BLANK,0.0386916671812898
CdCo,BLANK,0.0322369720029414
CdCo,BLANK,0.005335049158006199
CdCo,BLANK,0.008408656770875211
CdCu,BLANK,0.00797322705636816
CdCu,BLANK,0.004673264197840865
CdCu,BLANK,0.006900253624042562
CdCu,BLANK,0.005338391484421833
CdCu,BLANK,0.016760736609722215
CdMn,BLANK,0.03391509862948894
CdMn,BLANK,0.035023783384602325
CdMn,BLANK,0.004709449807904775
CdMn,BLANK,0.01900368051810375
CdMn,BLANK,0.004172435286164955
CdNi,BLANK,0.04223146629067642
CdNi,BLANK,0.03729259532292417
CdNi,BLANK,0.029937927759071666
CdNi,BLANK,0.015414858123286022
CdNi,BLANK,0.011468462113306542
CdZn,BLANK,0.0046418704213735396
CdZn,BLANK,0.0046958678945330234
CdZn,BLANK,0.004214487492326668
CdZn,BLANK,0.04183039472582806
Co,BLANK,0.006909069383276289
Co,BLANK,0.010237439451721286
Co,BLANK,0.0337070916955895
Co,BLANK,0.005914687251085126
Co,BLANK,0.06679710953250151
CoCu,BLANK,0.0678396583464469
CoCu,BLANK,0.010887441714846345
CoCu,BLANK,0.005476005160431895
CoCu,BLANK,0.029779130172880027
CoCu,BLANK,0.027313879447099506
CoMn,BLANK,0.033995527271013515
CoMn,BLANK,0.04019608781380413
CoMn,BLANK,0.005722709284228244
CoMn,BLANK,0.04190944480342296
CoMn,BLANK,0.03695209853660231
CoNi,BLANK,0.0653875926959202
CoNi,BLANK,0.013565886325395125
CoNi,BLANK,0.06114282860014696
CoNi,BLANK,0.002458682346606622
CoNi,BLANK,0.03990659995789514
CoZn,BLANK,0.03722695478547422
CoZn,BLANK,0.046342713011515706
CoZn,BLANK,0.0037613314907147806
CoZn,BLANK,0.025173478612749985
CoZn,BLANK,0.006697246801579126
Cu,BLANK,0.005551580872786842
Cu,BLANK,0.053901790098009876
Cu,BLANK,0.03992228551075172
Cu,BLANK,0.025408312387398265
Cu,BLANK,0.003402659887186132
CuMn,BLANK,0.023743308075196975
CuMn,BLANK,0.028881324443119635
CuMn,BLANK,0.01786252815660916
CuMn,BLANK,0.029643814480895255
CuMn,BLANK,0.02893809251114376
CuNi,BLANK,0.03852706120799354
CuNi,BLANK,0.0023031294205111408
CuNi,BLANK,0.037622310011808935
CuNi,BLANK,0.027735860175237544
CuNi,BLANK,0.04207188465388256
CuZn,BLANK,0.026927807794674404
CuZn,BLANK,0.022477183947433584
CuZn,BLANK,0.03836194185646846
CuZn,BLANK,0.02310957674112046
CuZn,BLANK,0.015668004405000602
Mn,BLANK,0.07507042010246323
Mn,BLANK,0.023928054404542817
Mn,BLANK,0.006026440724227199
Mn,BLANK,0.010614590228996688
Mn,BLANK,0.005986594220352969
MnNi,BLANK,0.09961475255781947
MnNi,BLANK,0.005223201493542717
MnNi,BLANK,0.005103066613720841
MnNi,BLANK,0.05408189605038415
MnNi,BLANK,0.004480918702753911
MnZn,BLANK,0.09513266381322437
MnZn,BLANK,0.006705027155717857
MnZn,BLANK,0.04495802616855115
MnZn,BLANK,0.003547043014862083
